enrollment_id,student_name,password,course
deep-efc2,Deepti,a150,AI
anir-5086,Anirudh,d7ac,AI
neha-5ae4,Neha,2a24,AI
tani-527e,Tanish,278c,Web Development
dipt-e2ce,Dipti,3f09,AI
divy-712d,Divya,d282,AI
nama-3125,Naman,c744,Mathematics for machine learning
anan-ba9b,Ananya,4ec0,Mathematics for machine learning
neha-c7f4,Neha,dbca,python
dipt-4fb5,Dipti,9f4e,python
neha-067d,Neha,63f7,python
vini-0336,vinita,3a9d,Web Devlopment
sani-a08e,sania,ba5b,python
anan-64e0,ananya,9682,python
dipt-a4ed,Dipti,89e2,python
dipt-1c6b,Dipti,4852,python
dipt-ee35,Dipti,77d2,python
dipt-0e54,Dipti,b5c1,python
dipt-8005,Dipti,ca17,python
dipt-6b7b,Dipti,4df6,Mathematics for machine learning
anir-f65b,Anirudh,62c2,python
anir-a6a0,Anirudh,9ee4,Mathematics for machine learning
tani-1ec2,Tanish,8464,AI
